epoch,batch_num,loss
1,31,0.410266
1,82,0.368202
1,86,0.401452
1,101,0.54084
1,103,0.508961
1,124,0.403914
1,238,0.473348
1,290,0.350281
1,303,0.408959
1,333,0.477348
1,381,0.364505
1,417,0.454868
1,509,0.349123
1,533,0.440831
1,556,0.426086
1,588,0.368236
1,634,0.398196
1,731,0.445725
1,758,0.350976
1,791,0.402899
1,803,0.351975
1,853,0.455471
1,864,0.476056
1,885,0.386324
1,892,0.447514
1,992,0.430329
1,1012,0.512602
1,1021,0.466661
1,1168,0.503031
1,1225,0.496315
1,1278,0.526965
1,1293,0.36525
1,1306,0.386551
1,1368,0.445077
1,1404,0.325078
1,1432,0.39682
1,1468,0.465105
1,1492,0.496301
1,1531,0.444578
1,1627,0.485886
1,1733,0.438988
1,1745,0.409964
1,1814,0.393436
1,1820,0.475179
1,1879,0.473734
1,1892,0.387086
1,1906,0.390007
1,2091,0.454961
1,2110,0.455516
1,2167,0.371724
1,2174,0.441495
1,2200,0.3769
1,2227,0.38945
1,2250,0.408959
1,2276,0.388182
1,2288,0.482519
1,2300,0.381779
1,2326,0.423386
1,2345,0.437814
1,2369,0.352589
1,2390,0.369978
1,2450,0.421912
1,2476,0.418853
1,2494,0.449544
1,2564,0.427019
1,2671,0.442905
1,2740,0.428996
1,2864,0.395559
1,2946,0.353208
1,2998,0.390246
1,3076,0.415551
1,3125,0.413717
1,3281,0.457664
1,3312,0.365538
1,3317,0.359324
1,3349,0.395378
1,3358,0.365856
1,3390,0.422009
1,3432,0.48734
1,3442,0.444486
1,3521,0.427559
1,3554,0.358038
1,3619,0.484194
1,3674,0.406792
1,3732,0.387559
1,3750,0.438071
1,3792,0.399924
1,3851,0.434441
1,3934,0.391859
1,3951,0.413328
1,4010,0.488447
1,4029,0.412365
1,4069,0.337899
1,4084,0.447985
1,4103,0.538414
1,4149,0.445599
1,4162,0.507886
1,4184,0.356021
1,4186,0.347538
1,4211,0.426342
1,4212,0.361205
1,4249,0.505998
1,4299,0.434249
1,4317,0.374964
1,4423,0.321914
1,4524,0.435551
1,4598,0.479044
1,4665,0.463232
1,4666,0.434645
1,4725,0.411863
1,4773,0.383245
1,4836,0.457204
1,4849,0.415331
1,4886,0.38789
1,4892,0.485783
