epoch,count,mean,std,var,min,max,median,cv,range
1,6188,0.4175636813186813,0.06214697365788571,0.0038622463348339403,0.254425,2.979611,0.414976,0.1488323253153227,2.725186
2,6188,0.4073357786037492,0.05601060355581825,0.0031371877106870405,0.232318,1.855348,0.4062175,0.1375047479202769,1.62303
3,6188,0.3984344267937944,0.06012680096328527,0.0036152321940785227,0.217261,2.30209,0.39823050000000004,0.1509076448215738,2.084829
4,6188,0.3926407887847447,0.054617597113648865,0.0029830819144688646,0.212508,1.696088,0.39263349999999997,0.13910321768325393,1.4835800000000001
5,6188,0.3885521648351648,0.06173264369848044,0.0038109192980035366,0.224768,2.902123,0.388532,0.1588786507589508,2.677355
6,6188,0.38278225096961865,0.05169552449042317,0.0026724272523399413,0.214646,0.584675,0.383141,0.13505204162281345,0.37002899999999994
7,6188,0.37791855446024564,0.05495384559257955,0.003019925145413075,0.195387,1.703177,0.37832699999999997,0.14541187497678235,1.50779
8,6188,0.37272967792501616,0.053451728484917985,0.0028570872780253925,0.154795,0.976173,0.37258250000000004,0.14340615102742404,0.8213779999999999
9,6188,0.3674163889786684,0.05557972307281319,0.003089105616850603,0.178373,1.638865,0.366288,0.15127175798366485,1.460492
10,6188,0.3616289419844861,0.053299776847566115,0.002840866212000345,0.178458,0.700191,0.36193,0.1473880286104221,0.521733
11,6188,0.3561765612475759,0.056260321038557326,0.0031652237233615365,0.176118,1.591758,0.3563045,0.1579562698946132,1.41564
12,6188,0.3504138264382676,0.053823699866716944,0.0028969906673424256,0.178782,1.000485,0.3489635,0.15360038847154073,0.8217030000000001
13,6188,0.34558851357466064,0.05422225062111417,0.002940052462418916,0.160673,0.565296,0.345242,0.15689830098881466,0.404623
14,6188,0.34092040578539107,0.056741323523313396,0.003219577795177318,0.156739,1.14972,0.3399905,0.16643569161721572,0.9929810000000001
15,6188,0.33598700759534583,0.05548874631572371,0.003079000967690742,0.132596,0.90271,0.3356575,0.16515146437612532,0.770114
16,6188,0.3313037354557208,0.05540585790334639,0.003069809090005811,0.141123,0.60858,0.330176,0.16723583821695684,0.467457
17,6188,0.32729112572721397,0.055452150463448105,0.003074940991020888,0.130823,0.546714,0.3266975,0.1694276016199278,0.415891
18,6188,0.3228956740465417,0.055197993121796664,0.003046818444673912,0.116944,0.610639,0.321842,0.17094683378706557,0.49369500000000005
19,6188,0.31942939334195214,0.055982150211754254,0.0031340011423314166,0.131875,0.880785,0.31820899999999996,0.17525672771079284,0.7489100000000001
20,6188,0.3159978088235294,0.05836401117680598,0.0034063578006463336,0.13144,1.671267,0.315624,0.1846975186128574,1.539827
21,6188,0.3123561218487395,0.0549362157104473,0.003017987796584797,0.12832,0.570196,0.312245,0.17587686575597364,0.44187600000000005
22,6188,0.3089553799288946,0.057581976866904507,0.003315684059900726,0.124581,1.106346,0.3077335,0.18637635272820582,0.981765
23,6188,0.30577178926955395,0.05720760511988884,0.0032727100835531317,0.104564,1.031058,0.30582299999999996,0.18709248899824868,0.926494
24,6188,0.30265938106011636,0.05732072210981084,0.003285665183190157,0.114662,0.667719,0.301275,0.1893902046222231,0.5530569999999999
25,6188,0.29987663720103425,0.057874975235908774,0.0033495127585570538,0.123535,1.100962,0.297783,0.1929959458532609,0.977427
26,6188,0.29689941564318034,0.05792270944813431,0.003355040269812988,0.103532,0.887906,0.2965805,0.19509202913941395,0.784374
27,6188,0.29435078215901744,0.05806850830384162,0.003371951656633324,0.095276,1.18112,0.29353549999999995,0.19727655512894546,1.085844
28,6188,0.2918307435358759,0.056543632416650016,0.003197182366869235,0.095508,0.678314,0.2909395,0.19375488590255016,0.5828059999999999
29,6188,0.28958978733031676,0.05806712506226418,0.003371791012996629,0.114371,1.143596,0.28939349999999997,0.20051509964345074,1.029225
30,6188,0.2873465985778927,0.06130671640509807,0.003758513476375121,0.109396,1.577575,0.2859345,0.21335459235818763,1.468179
31,6188,0.2853117270523594,0.06176495668385682,0.00381490987415871,0.094973,1.344309,0.2839845,0.21648236236893947,1.249336
32,6188,0.28243749062702,0.05716116433601559,0.0032673987082489806,0.098509,0.805071,0.2810525,0.20238518692796778,0.706562
33,6188,0.28030462443438914,0.05658952194434905,0.003202373993889962,0.090956,0.614066,0.2795795,0.20188579499370674,0.52311
34,6188,0.27814786797026503,0.05715840831717048,0.0032670836413523836,0.110249,0.86949,0.2770375,0.20549648190465694,0.7592409999999999
35,6188,0.2767177913703943,0.06197822136564222,0.0038412999236485494,0.071697,1.546382,0.275665,0.22397627943872492,1.474685
36,6188,0.2752596669360052,0.06413768774950496,0.004113642989852999,0.101978,2.286409,0.273936,0.2330079392431157,2.184431
37,6188,0.2727658170652877,0.05762554709045194,0.0033207036774738938,0.100631,1.064923,0.270547,0.21126381491071886,0.964292
38,6188,0.270670639948287,0.05844999422327427,0.003416401824700796,0.081987,0.964897,0.268799,0.2159450845294541,0.88291
39,6188,0.2695709778603749,0.05990744011291235,0.0035889013808821798,0.100693,1.083771,0.2690135,0.22223252884419029,0.983078
40,6188,0.2681716860051713,0.05960729025893072,0.0035530290520124166,0.093653,1.01473,0.266625,0.22227286984272188,0.9210769999999999
41,6188,0.26630839705882353,0.05958115367613258,0.003549913873378927,0.094157,1.366384,0.26484450000000004,0.2237299098870397,1.272227
42,6188,0.26471583904330964,0.05683236228620819,0.0032299174030308198,0.076111,0.5297,0.2638255,0.2146919598449489,0.45358899999999996
43,6188,0.26286721541693603,0.05958550799096572,0.00355043276254144,0.072998,1.453327,0.260294,0.22667531170236127,1.3803290000000001
44,6188,0.26189087023270846,0.05865275868909396,0.003440146101841087,0.078464,0.952066,0.25969200000000003,0.22395877579457757,0.873602
45,6188,0.26072738041370397,0.06165803729491673,0.003801713563061342,0.07741,1.392379,0.2586635,0.2364847036666501,1.314969
46,6188,0.25947039059469945,0.06091659184821984,0.003710831162402604,0.059293,1.429071,0.256583,0.23477280667208533,1.369778
47,6188,0.2585606218487395,0.06251979809545212,0.003908725153896098,0.041966,1.538901,0.256208,0.24179938015475075,1.4969350000000001
48,6188,0.2572481236263736,0.07295521802799941,0.00532246383751293,0.064998,3.726158,0.254756,0.2835986400972135,3.6611599999999997
49,6188,0.25586139156431803,0.06270860318509684,0.0039323689134259385,0.052002,1.918018,0.253705,0.24508818154118908,1.866016
50,6188,0.2535341278280543,0.05788510164014905,0.0033506849918903867,0.058753,0.522697,0.25164549999999997,0.22831285924318034,0.46394399999999997
51,6188,0.25375759987071755,0.06065988217105947,0.0036796213050068185,0.058312,1.371713,0.2515555,0.23904656334219743,1.313401
52,6188,0.2520585888817065,0.059300316495254725,0.0035165275364373795,0.060394,0.968689,0.2501605,0.235264018410755,0.9082950000000001
53,6188,0.25082998190045247,0.05861561825206597,0.0034357907030719286,0.061182,0.917615,0.249017,0.23368665024793125,0.856433
54,6188,0.24980923949579834,0.060085464413695396,0.0036102630338094555,0.077396,1.047308,0.247177,0.24052538863241688,0.9699119999999999
55,6188,0.24895314705882352,0.06106852182991975,0.0037293643584913852,0.051968,1.481945,0.24656850000000002,0.24530126472147093,1.429977
56,6188,0.24774932401422106,0.05865585648822117,0.0034405095003667975,0.074341,1.05056,0.24564200000000003,0.2367548598633281,0.976219
57,6188,0.24598289221073044,0.06654774570125357,0.0044286024579187145,0.055957,2.889064,0.2444195,0.2705381057323408,2.833107
58,6188,0.24595742097608275,0.06344301582317016,0.004025016256739019,0.060937,1.575575,0.243237,0.25794308450379894,1.514638
59,6188,0.2453097981577246,0.06581753890869003,0.0043319484279969265,0.051217,2.015811,0.243097,0.2683037506164834,1.9645939999999997
60,6188,0.2434939048157725,0.05916131223463429,0.003500060865323889,0.041949,1.005381,0.24098,0.2429683497802368,0.9634320000000001
61,6188,0.24334199563671624,0.06018791891870383,0.0036225855837644662,0.063611,1.357522,0.24102200000000001,0.24733880710240413,1.2939109999999998
62,6188,0.24114019618616678,0.05758308979519961,0.0033158122303620216,0.036942,0.823181,0.239626,0.23879506903421405,0.786239
