epoch,avg_loss,gradient,gradient_2nd,abs_gradient,experiment_id
1,0.417564,-0.010228000000000015,0.0006630000000000247,0.010228000000000015,20251020-200148_full_simulation_large_cnn
2,0.407336,-0.00956499999999999,0.001440250000000018,0.00956499999999999,20251020-200148_full_simulation_large_cnn
3,0.398434,-0.007347499999999979,0.0023119999999999946,0.007347499999999979,20251020-200148_full_simulation_large_cnn
4,0.392641,-0.004941000000000001,0.0012089999999999879,0.004941000000000001,20251020-200148_full_simulation_large_cnn
5,0.388552,-0.004929500000000003,-0.00018775000000000042,0.004929500000000003,20251020-200148_full_simulation_large_cnn
6,0.382782,-0.005316500000000002,-4.824999999999968e-05,0.005316500000000002,20251020-200148_full_simulation_large_cnn
7,0.377919,-0.005026000000000003,3.250000000000475e-05,0.005026000000000003,20251020-200148_full_simulation_large_cnn
8,0.37273,-0.005251499999999992,-0.00026225000000000553,0.005251499999999992,20251020-200148_full_simulation_large_cnn
9,0.367416,-0.005550500000000014,-0.0001840000000000036,0.005550500000000014,20251020-200148_full_simulation_large_cnn
10,0.361629,-0.0056194999999999995,-2.849999999998687e-05,0.0056194999999999995,20251020-200148_full_simulation_large_cnn
11,0.356177,-0.0056074999999999875,0.0001627499999999893,0.0056074999999999875,20251020-200148_full_simulation_large_cnn
12,0.350414,-0.005294000000000021,0.00043024999999999314,0.005294000000000021,20251020-200148_full_simulation_large_cnn
13,0.345589,-0.004747000000000001,0.0002465000000000106,0.004747000000000001,20251020-200148_full_simulation_large_cnn
14,0.34092,-0.004801,-3.0500000000002747e-05,0.004801,20251020-200148_full_simulation_large_cnn
15,0.335987,-0.004808000000000007,0.00022650000000000448,0.004808000000000007,20251020-200148_full_simulation_large_cnn
16,0.331304,-0.004347999999999991,0.0003020000000000106,0.004347999999999991,20251020-200148_full_simulation_large_cnn
17,0.327291,-0.0042039999999999855,0.00020850000000000035,0.0042039999999999855,20251020-200148_full_simulation_large_cnn
18,0.322896,-0.00393099999999999,0.00037749999999998896,0.00393099999999999,20251020-200148_full_simulation_large_cnn
19,0.319429,-0.0034490000000000076,0.00019724999999999604,0.0034490000000000076,20251020-200148_full_simulation_large_cnn
20,0.315998,-0.003536499999999998,-3.625000000000156e-05,0.003536499999999998,20251020-200148_full_simulation_large_cnn
21,0.312356,-0.0035215000000000107,0.00012224999999999042,0.0035215000000000107,20251020-200148_full_simulation_large_cnn
22,0.308955,-0.003292000000000017,0.0001867500000000133,0.003292000000000017,20251020-200148_full_simulation_large_cnn
23,0.305772,-0.003147999999999984,0.00017225000000001267,0.003147999999999984,20251020-200148_full_simulation_large_cnn
24,0.302659,-0.002947499999999992,0.00013399999999999523,0.002947499999999992,20251020-200148_full_simulation_large_cnn
25,0.299877,-0.0028799999999999937,9.224999999998817e-05,0.0028799999999999937,20251020-200148_full_simulation_large_cnn
